surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
90,1,1,۞,2.72,2.8,
90,1,2,لَاۤ,2.96,3.28,
90,1,3,أُقۡسِمُ,3.84,3.92,
90,1,4,بِهَـٰذَا,4.4,4.88,
90,1,5,ٱلۡبَلَدِ,5.2,5.76,
90,2,1,وَأَنتَ,5.92,6.0,
90,2,2,حِلُّۢ,6.72,6.8,
90,2,3,بِهَـٰذَا,7.36,7.84,
90,2,4,ٱلۡبَلَدِ,8.08,9.04,
90,3,1,وَوَالِدࣲ,9.12,9.2,
90,3,2,وَمَا,9.6,10.0,
90,3,3,وَلَدَ,10.32,10.4,
90,4,1,لَقَدۡ,10.8,11.36,
90,4,2,خَلَقۡنَا,11.6,12.4,
90,4,3,ٱلۡإِنسَـٰنَ,12.56,12.8,
90,4,4,فِی,12.8,13.28,
90,4,5,كَبَدٍ,13.52,14.08,
90,5,1,أَیَحۡسَبُ,14.32,14.4,
90,5,2,أَن,14.64,14.72,
90,5,3,لَّن,14.8,15.36,
90,5,4,یَقۡدِرَ,15.92,16.32,
90,5,5,عَلَیۡهِ,16.4,17.44,
90,5,6,أَحَدࣱ,17.44,17.68,
90,6,1,یَقُولُ,17.76,18.48,
90,6,2,أَهۡلَكۡتُ,18.56,19.12,
90,6,3,مَالࣰا,19.12,19.6,
90,6,4,لُّبَدًا,19.68,20.56,
90,7,1,أَیَحۡسَبُ,20.8,20.88,
90,7,2,أَن,21.12,21.2,
90,7,3,لَّمۡ,21.2,21.84,
90,7,4,یَرَهُۥۤ,22.08,22.32,
90,7,5,أَحَدٌ,22.8,22.88,
90,8,1,أَلَمۡ,23.2,23.68,
90,8,2,نَجۡعَل,23.92,24.0,
90,8,3,لَّهُۥ,24.32,25.04,
90,8,4,عَیۡنَیۡنِ,25.36,26.16,
90,9,1,وَلِسَانࣰا,26.32,27.28,
90,9,2,وَشَفَتَیۡنِ,27.6,28.64,
90,10,1,وَهَدَیۡنَـٰهُ,28.88,29.76,
90,10,2,ٱلنَّجۡدَیۡنِ,30.0,30.08,
90,11,1,فَلَا,30.32,30.96,
90,11,2,ٱقۡتَحَمَ,31.2,31.84,
90,11,3,ٱلۡعَقَبَةَ,32.08,32.16,
90,12,1,وَمَاۤ,32.56,33.28,
90,12,2,أَدۡرَىٰكَ,33.36,33.44,
90,12,3,مَا,33.68,34.24,
90,12,4,ٱلۡعَقَبَةُ,34.48,34.72,
90,13,1,فَكُّ,34.96,35.6,
90,13,2,رَقَبَةٍ,35.76,35.84,
90,14,1,أَوۡ,36.08,36.88,
90,14,2,إِطۡعَـٰمࣱ,37.2,37.36,
90,14,3,فِی,37.44,38.0,
90,14,4,یَوۡمࣲ,38.16,38.48,
90,14,5,ذِی,38.56,39.44,
90,14,6,مَسۡغَبَةࣲ,39.44,40.4,
90,15,1,یَتِیمࣰا,40.48,40.72,
90,15,2,ذَا,40.88,41.6,
90,15,3,مَقۡرَبَةٍ,41.84,41.92,
90,16,1,أَوۡ,42.08,43.12,
90,16,2,مِسۡكِینࣰا,43.12,43.36,
90,16,3,ذَا,43.52,44.4,
90,16,4,مَتۡرَبَةࣲ,44.56,44.64,
90,17,1,ثُمَّ,45.12,45.2,
90,17,2,كَانَ,45.6,45.68,
90,17,3,مِنَ,46.0,46.48,
90,17,4,ٱلَّذِینَ,46.64,47.28,
90,17,5,ءَامَنُوا۟,47.36,48.24,
90,17,6,وَتَوَاصَوۡا۟,48.48,48.96,
90,17,7,بِٱلصَّبۡرِ,49.12,49.92,
90,17,8,وَتَوَاصَوۡا۟,50.08,50.96,
90,17,9,بِٱلۡمَرۡحَمَةِ,51.28,52.48,
90,18,1,أُو۟لَـٰۤئِكَ,52.64,53.36,
90,18,2,أَصۡحَـٰبُ,53.6,54.32,
90,18,3,ٱلۡمَیۡمَنَةِ,54.64,55.36,
90,19,1,وَٱلَّذِینَ,55.44,56.0,
90,19,2,كَفَرُوا۟,56.16,57.2,
90,19,3,بِءَایَـٰتِنَا,57.36,57.6,
90,19,4,هُمۡ,57.76,58.4,
90,19,5,أَصۡحَـٰبُ,58.64,59.36,
90,19,6,ٱلۡمَشۡءَمَةِ,59.92,60.56,
90,20,1,عَلَیۡهِمۡ,60.72,61.36,
90,20,2,نَارࣱ,61.76,62.64,
90,20,3,مُّؤۡصَدَةُۢ,63.602,64.378,
