surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
101,1,1,ٱلۡقَارِعَةُ,0.48,1.44,,native,,existing
101,2,1,مَا,1.84,1.92,,native,,existing
101,2,2,ٱلۡقَارِعَةُ,2.32,3.36,,native,,existing
101,3,1,وَمَاۤ,3.84,3.92,,native,,existing
101,3,2,أَدۡرَىٰكَ,7.28,8.16,,native,,existing
101,3,3,مَا,8.32,8.4,,native,,existing
101,3,4,ٱلۡقَارِعَةُ,8.72,9.68,,native,,existing
101,4,1,یَوۡمَ,9.68,10.64,,native,,existing
101,4,2,یَكُونُ,10.88,11.52,,native,,existing
101,4,3,ٱلنَّاسُ,11.92,12.0,,native,,existing
101,4,4,كَٱلۡفَرَاشِ,12.72,13.92,,native,,existing
101,4,5,ٱلۡمَبۡثُوثِ,14.16,15.44,,native,,existing
101,5,1,وَتَكُونُ,17.2,17.68,,native,,existing
101,5,2,ٱلۡجِبَالُ,18.32,19.04,,native,,existing
101,5,3,كَٱلۡعِهۡنِ,19.28,20.32,,native,,existing
101,5,4,ٱلۡمَنفُوشِ,20.56,22.0,,native,,existing
101,6,1,فَأَمَّا,23.6,24.16,,native,,existing
101,6,2,مَن,24.8,24.88,,native,,existing
101,6,3,ثَقُلَتۡ,25.68,26.48,,native,,existing
101,6,4,مَوَ,26.64,26.96,,native,,existing
101,6,5,ٰزِینُهُۥ,27.28,28.0,,native,,existing
101,7,1,فَهُوَ,28.32,28.4,,native,,existing
101,7,2,فِی,28.4,29.12,,native,,existing
101,7,3,عِیشَةࣲ,29.36,30.08,,native,,existing
101,7,4,رَّاضِیَةࣲ,30.4,31.68,,native,,existing
101,8,1,وَأَمَّا,31.92,32.4,,native,,existing
101,8,2,مَنۡ,32.96,33.04,,native,,existing
101,8,3,خَفَّتۡ,33.36,33.76,,native,,existing
101,8,4,مَوَ,34.16,34.56,,native,,existing
101,8,5,ٰزِینُهُۥ,34.96,35.68,,native,,existing
101,9,1,فَأُمُّهُۥ,36.0,37.84,,native,,existing
101,9,2,هَاوِیَةࣱ,38.16,39.44,,native,,existing
101,10,1,وَمَاۤ,39.84,39.92,,native,,existing
101,10,2,أَدۡرَىٰكَ,43.28,44.32,,native,,existing
101,10,3,مَا,44.48,44.56,,native,,existing
101,10,4,هِیَهۡ,44.96,45.52,,native,,existing
101,11,1,نَارٌ,46.08,46.72,,native,,existing
101,11,2,حَامِیَةُۢ,47.2,48.4,,native,,existing
