surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
100,1,1,وَٱلۡعَـٰدِیَـٰتِ,4.0,5.12,,native,,existing
100,1,2,ضَبۡحࣰا,5.36,6.16,,native,,existing
100,2,1,فَٱلۡمُورِیَـٰتِ,6.48,7.76,,native,,existing
100,2,2,قَدۡحࣰا,8.08,8.88,,native,,existing
100,3,1,فَٱلۡمُغِیرَ,9.28,10.64,,native,,existing
100,3,2,ٰتِ,10.64,10.72,,native,,existing
100,3,3,صُبۡحࣰا,10.96,11.76,,native,,existing
100,4,1,فَأَثَرۡنَ,12.56,13.52,,native,,existing
100,4,2,بِهِۦ,13.68,13.76,,native,,existing
100,4,3,نَقۡعࣰا,14.16,14.88,,native,,existing
100,5,1,فَوَسَطۡنَ,15.44,16.48,,native,,existing
100,5,2,بِهِۦ,16.64,16.72,,native,,existing
100,5,3,جَمۡعًا,17.2,17.92,,native,,existing
100,6,1,إِنَّ,19.04,19.12,,native,,existing
100,6,2,ٱلۡإِنسَـٰنَ,20.08,21.84,,native,,existing
100,6,3,لِرَبِّهِۦ,22.08,23.04,,native,,existing
100,6,4,لَكَنُودࣱ,23.36,25.12,,native,,existing
100,7,1,وَإِنَّهُۥ,25.52,26.48,,native,,existing
100,7,2,عَلَىٰ,26.88,26.96,,native,,existing
100,7,3,ذَ,27.44,27.52,,native,,existing
100,7,4,ٰلِكَ,27.92,28.0,,native,,existing
100,7,5,لَشَهِیدࣱ,28.32,30.4,,native,,existing
100,8,1,وَإِنَّهُۥ,30.8,31.76,,native,,existing
100,8,2,لِحُبِّ,32.08,32.4,,native,,existing
100,8,3,ٱلۡخَیۡرِ,33.12,33.6,,native,,existing
100,8,4,لَشَدِیدٌ,33.76,34.72,,native,,existing
100,9,1,۞,36.56,37.2,,native,,existing
100,9,2,أَفَلَا,37.2,37.92,,native,,existing
100,9,3,یَعۡلَمُ,38.64,38.96,,native,,existing
100,9,4,إِذَا,39.28,39.84,,native,,existing
100,9,5,بُعۡثِرَ,40.32,40.4,,native,,existing
100,9,6,مَا,40.72,41.04,,native,,existing
100,9,7,فِی,41.2,41.84,,native,,existing
100,9,8,ٱلۡقُبُورِ,42.16,42.72,,native,,existing
100,10,1,وَحُصِّلَ,43.28,43.36,,native,,existing
100,10,2,مَا,43.36,43.76,,native,,existing
100,10,3,فِی,44.08,44.96,,native,,existing
100,10,4,ٱلصُّدُورِ,46.8,46.88,,native,,existing
100,11,1,إِنَّ,48.08,48.88,,native,,existing
100,11,2,رَبَّهُم,50.16,50.56,,native,,existing
100,11,3,بِهِمۡ,50.64,52.24,,native,,existing
100,11,4,یَوۡمَئِذࣲ,52.64,55.28,,native,,existing
100,11,5,لَّخَبِیرُۢ,54.926,56.234,,native,,existing
