surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
100,1,1,وَٱلۡعَـٰدِیَـٰتِ,0.16,1.36,,native,,existing
100,1,2,ضَبۡحࣰا,1.52,2.4,,native,,existing
100,2,1,فَٱلۡمُورِیَـٰتِ,2.72,4.08,,native,,existing
100,2,2,قَدۡحࣰا,4.24,5.12,,native,,existing
100,3,1,فَٱلۡمُغِیرَ,5.44,6.72,,native,,existing
100,3,2,ٰتِ,6.72,6.8,,native,,existing
100,3,3,صُبۡحࣰا,7.04,7.84,,native,,existing
100,4,1,فَأَثَرۡنَ,8.16,9.12,,native,,existing
100,4,2,بِهِۦ,9.28,9.36,,native,,existing
100,4,3,نَقۡعࣰا,9.76,10.56,,native,,existing
100,5,1,فَوَسَطۡنَ,10.8,11.84,,native,,existing
100,5,2,بِهِۦ,11.92,12.0,,native,,existing
100,5,3,جَمۡعًا,12.4,13.12,,native,,existing
100,6,1,إِنَّ,13.6,13.68,,native,,existing
100,6,2,ٱلۡإِنسَـٰنَ,14.56,16.08,,native,,existing
100,6,3,لِرَبِّهِۦ,16.32,17.2,,native,,existing
100,6,4,لَكَنُودࣱ,17.44,18.64,,native,,existing
100,7,1,وَإِنَّهُۥ,19.84,20.64,,native,,existing
100,7,2,عَلَىٰ,20.96,21.04,,native,,existing
100,7,3,ذَ,21.52,21.6,,native,,existing
100,7,4,ٰلِكَ,21.92,22.0,,native,,existing
100,7,5,لَشَهِیدࣱ,22.24,23.44,,native,,existing
100,8,1,وَإِنَّهُۥ,24.32,25.68,,native,,existing
100,8,2,لِحُبِّ,26.0,26.32,,native,,existing
100,8,3,ٱلۡخَیۡرِ,26.96,27.44,,native,,existing
100,8,4,لَشَدِیدٌ,27.6,28.4,,native,,existing
100,9,1,۞,29.2,29.68,,native,,existing
100,9,2,أَفَلَا,29.76,30.24,,native,,existing
100,9,3,یَعۡلَمُ,30.8,31.12,,native,,existing
100,9,4,إِذَا,31.36,31.84,,native,,existing
100,9,5,بُعۡثِرَ,32.32,32.4,,native,,existing
100,9,6,مَا,32.72,33.12,,native,,existing
100,9,7,فِی,33.2,34.0,,native,,existing
100,9,8,ٱلۡقُبُورِ,34.88,35.52,,native,,existing
100,10,1,وَحُصِّلَ,36.0,36.08,,native,,existing
100,10,2,مَا,36.32,36.48,,native,,existing
100,10,3,فِی,36.64,37.44,,native,,existing
100,10,4,ٱلصُّدُورِ,39.12,39.2,,native,,existing
100,11,1,إِنَّ,39.92,40.64,,native,,existing
100,11,2,رَبَّهُم,41.84,42.24,,native,,existing
100,11,3,بِهِمۡ,42.32,43.76,,native,,existing
100,11,4,یَوۡمَئِذࣲ,44.08,45.36,,native,,existing
100,11,5,لَّخَبِیرُۢ,47.681,48.816,,native,,existing
