surah,ayah,start_s,end_s,source
88,1,3.84,6.8,aligned
88,2,7.36,10.32,aligned
88,3,10.64,13.12,aligned
88,4,13.36,15.84,aligned
88,5,16.0,18.8,aligned
88,6,19.12,23.68,aligned
88,7,24.24,28.48,aligned
88,8,29.2,32.4,aligned
88,9,32.8,35.44,aligned
88,10,35.52,38.24,aligned
88,11,38.56,41.76,aligned
88,12,42.08,45.04,aligned
88,13,45.36,48.16,aligned
88,14,48.56,51.36,aligned
88,15,51.68,54.08,aligned
88,16,54.48,56.96,aligned
88,17,57.44,62.32,aligned
88,18,62.8,67.12,aligned
88,19,67.68,70.64,aligned
88,20,71.04,73.92,aligned
88,21,74.56,78.72,aligned
88,22,79.28,82.16,aligned
88,23,82.8,85.76,aligned
88,24,86.48,90.16,aligned
88,25,91.04,94.08,aligned
88,26,94.96,100.0,aligned
